continente,year,energia_TWh
Africa,1965,488.5
Africa,1966,506.11
Africa,1967,506.62
Africa,1968,537.62
Africa,1969,539.24
Africa,1970,580.05
Africa,1971,620.03
Africa,1972,652.86
Africa,1973,695.1800000000001
Africa,1974,731.47
Africa,1975,790.18
Africa,1976,853.96
Africa,1977,894.43
Africa,1978,924.06
Africa,1979,1000.32
Africa,1980,1651.19
Africa,1981,1831.1999999999998
Africa,1982,1947.6200000000001
Africa,1983,2022.3400000000001
Africa,1984,2126.06
Africa,1985,2198.64
Africa,1986,2248.08
Africa,1987,2314.87
Africa,1988,2476.79
Africa,1989,2490.71
Africa,1990,2568.44
Africa,1991,2565.08
Africa,1992,2610.2599999999998
Africa,1993,2604.73
Africa,1994,2674.62
Africa,1995,2789.7599999999998
Africa,1996,2862.71
Africa,1997,2923.77
Africa,1998,2934.73
Africa,1999,3029.25
Africa,2000,3116.78
Africa,2001,3219.81
Africa,2002,3262.25
Africa,2003,3432.05
Africa,2004,3633.5
Africa,2005,3688.96
Africa,2006,3746.96
Africa,2007,3851.56
Africa,2008,4136.24
Africa,2009,4114.96
Africa,2010,4283.7300000000005
Africa,2011,4413.55
Africa,2012,4582.599999999999
Africa,2013,4793.14
Africa,2014,4954.46
Africa,2015,4950.26
Africa,2016,5102.71
Africa,2017,5249.68
Africa,2018,5266.88
Africa,2019,5386.16
Africa,2020,5051.5599999999995
Africa,2021,5368.07
Africa,2022,5497.6
America,1965,17183.350000000002
America,1966,18167.63
America,1967,18815.23
America,1968,19963.73
America,1969,21018.12
America,1970,21877.48
America,1971,22416.249999999996
America,1972,23659.550000000003
America,1973,24858.93
America,1974,24613.710000000003
America,1975,24111.57
America,1976,25458.119999999995
America,1977,26285.95
America,1978,27003.670000000002
America,1979,27548.910000000003
America,1980,27377.399999999998
America,1981,26816.04
America,1982,26052.02
America,1983,25986.239999999998
America,1984,27288.63
America,1985,27495.16
America,1986,27848.9
America,1987,28771.77
America,1988,29999.98
America,1989,30681.12
America,1990,30752.31
America,1991,30866.7
America,1992,31461.17
America,1993,32163.73
America,1994,33036.82
America,1995,33824.92
America,1996,34962.12
America,1997,35459.509999999995
